phrase1,phrase2_cut,ante_noun,ante_gender,phrases_cut,next_5
The mothers-in-law were crossing the hall.,"Given the bad weather, most of the",mothers-in-law,f,"The mothers-in-law were crossing the hall. Given the bad weather, most of the", guests were seated. The
The fathers-in-law were crossing the hall.,"Given the bad weather, most of the",fathers-in-law,m,"The fathers-in-law were crossing the hall. Given the bad weather, most of the", guests had left. The
The parents were crossing the hall.,"Given the bad weather, most of the",parents,n,"The parents were crossing the hall. Given the bad weather, most of the", parents were wearing a coat
The mothers were crossing the hall.,"Given the bad weather, most of the",mothers,f,"The mothers were crossing the hall. Given the bad weather, most of the", mothers were carrying umbrellas
The fathers were crossing the hall.,"Given the bad weather, most of the",fathers,m,"The fathers were crossing the hall. Given the bad weather, most of the", fathers were late. The
The children were crossing the hall.,"Given the bad weather, most of the",children,n,"The children were crossing the hall. Given the bad weather, most of the", children were wearing rainco
The daughters were crossing the hall.,"Given the bad weather, most of the",daughters,f,"The daughters were crossing the hall. Given the bad weather, most of the", students were absent. Given
The sons were crossing the hall.,"Given the bad weather, most of the",sons,m,"The sons were crossing the hall. Given the bad weather, most of the", boys were in a hurry
The spouses were crossing the hall.,"Given the bad weather, most of the",spouses,n,"The spouses were crossing the hall. Given the bad weather, most of the", guests were what? -
The wives were crossing the hall.,"Given the bad weather, most of the",wives,f,"The wives were crossing the hall. Given the bad weather, most of the", husbands were waiting for them
The husbands were crossing the hall.,"Given the bad weather, most of the",husbands,m,"The husbands were crossing the hall. Given the bad weather, most of the", wives were staying home.
The grandparents were going to the supermarket.,"With bad weather expected, one of the",grandparents,n,"The grandparents were going to the supermarket. With bad weather expected, one of the", grandchildren gave Grandpa a
The grandmothers were going to the supermarket.,"With bad weather expected, one of the",grandmothers,f,"The grandmothers were going to the supermarket. With bad weather expected, one of the", grandmothers took an
The grandfathers were going to the supermarket.,"With bad weather expected, one of the",grandfathers,m,"The grandfathers were going to the supermarket. With bad weather expected, one of the", grandfathers said to
The monarchs were going to the supermarket.,"With bad weather expected, one of the",monarchs,n,"The monarchs were going to the supermarket. With bad weather expected, one of the", monarchs decided to buy
The queens were going to the supermarket.,"With bad weather expected, one of the",queens,f,"The queens were going to the supermarket. With bad weather expected, one of the", queens asked the other to
The kings were going to the supermarket.,"With bad weather expected, one of the",kings,m,"The kings were going to the supermarket. With bad weather expected, one of the", kings wanted to buy a
The siblings were going to the supermarket.,"With bad weather expected, one of the",siblings,n,"The siblings were going to the supermarket. With bad weather expected, one of the"," siblings said, ""It"
The sisters were going to the supermarket.,"With bad weather expected, one of the",sisters,f,"The sisters were going to the supermarket. With bad weather expected, one of the"," sisters said, ""Let"
The brothers were going to the supermarket.,"With bad weather expected, one of the",brothers,m,"The brothers were going to the supermarket. With bad weather expected, one of the", brothers decided to go immediately
The parents-in-law were going to the supermarket.,"With bad weather expected, one of the",parents-in-law,n,"The parents-in-law were going to the supermarket. With bad weather expected, one of the", children asked them to buy
The mothers-in-law were going to the supermarket.,"With bad weather expected, one of the",mothers-in-law,f,"The mothers-in-law were going to the supermarket. With bad weather expected, one of the", mothers-in-law went to
The fathers-in-law were going to the supermarket.,"With bad weather expected, one of the",fathers-in-law,m,"The fathers-in-law were going to the supermarket. With bad weather expected, one of the", fathers-in-law asked the
The parents were going to the supermarket.,"With bad weather expected, one of the",parents,n,"The parents were going to the supermarket. With bad weather expected, one of the"," children asked, ""Will"
The mothers were going to the supermarket.,"With bad weather expected, one of the",mothers,f,"The mothers were going to the supermarket. With bad weather expected, one of the"," mothers said, ""I"
The fathers were going to the supermarket.,"With bad weather expected, one of the",fathers,m,"The fathers were going to the supermarket. With bad weather expected, one of the", fathers asked the other to
The children were going to the supermarket.,"With bad weather expected, one of the",children,n,"The children were going to the supermarket. With bad weather expected, one of the"," children asked, ""Will"
The daughters were going to the supermarket.,"With bad weather expected, one of the",daughters,f,"The daughters were going to the supermarket. With bad weather expected, one of the"," daughters said, ""I"
The sons were going to the supermarket.,"With bad weather expected, one of the",sons,m,"The sons were going to the supermarket. With bad weather expected, one of the", sons asked their mother what
The spouses were going to the supermarket.,"With bad weather expected, one of the",spouses,n,"The spouses were going to the supermarket. With bad weather expected, one of the", spouses said to the other
The wives were going to the supermarket.,"With bad weather expected, one of the",wives,f,"The wives were going to the supermarket. With bad weather expected, one of the"," wives said, ""I"
The husbands were going to the supermarket.,"With bad weather expected, one of the",husbands,m,"The husbands were going to the supermarket. With bad weather expected, one of the"," husbands said, ""I"
The grandparents were leaving hastily.,It was evident that most of the,grandparents,n,The grandparents were leaving hastily. It was evident that most of the, family had already left.
The grandmothers were leaving hastily.,It was evident that most of the,grandmothers,f,The grandmothers were leaving hastily. It was evident that most of the, women were in a hurry
The grandfathers were leaving hastily.,It was evident that most of the,grandfathers,m,The grandfathers were leaving hastily. It was evident that most of the, people in the room were
The monarchs were leaving hastily.,It was evident that most of the,monarchs,n,The monarchs were leaving hastily. It was evident that most of the, monarchs were flying in
The queens were leaving hastily.,It was evident that most of the,queens,f,The queens were leaving hastily. It was evident that most of the, workers were not going to
The kings were leaving hastily.,It was evident that most of the,kings,m,The kings were leaving hastily. It was evident that most of the, people in the palace were
The siblings were leaving hastily.,It was evident that most of the,siblings,n,The siblings were leaving hastily. It was evident that most of the, items were left behind.
The sisters were leaving hastily.,It was evident that most of the,sisters,f,The sisters were leaving hastily. It was evident that most of the, things in the room had
The brothers were leaving hastily.,It was evident that most of the,brothers,m,The brothers were leaving hastily. It was evident that most of the, men were armed. The
The parents-in-law were leaving hastily.,It was evident that most of the,parents-in-law,n,The parents-in-law were leaving hastily. It was evident that most of the, family were anxious to be
The mothers-in-law were leaving hastily.,It was evident that most of the,mothers-in-law,f,The mothers-in-law were leaving hastily. It was evident that most of the, women were in a hurry
The fathers-in-law were leaving hastily.,It was evident that most of the,fathers-in-law,m,The fathers-in-law were leaving hastily. It was evident that most of the, women were not going to
The parents were leaving hastily.,It was evident that most of the,parents,n,The parents were leaving hastily. It was evident that most of the, children were not aware of
The mothers were leaving hastily.,It was evident that most of the,mothers,f,The mothers were leaving hastily. It was evident that most of the, children had been taken away
The fathers were leaving hastily.,It was evident that most of the,fathers,m,The fathers were leaving hastily. It was evident that most of the, children had never seen their
The children were leaving hastily.,It was evident that most of the,children,n,The children were leaving hastily. It was evident that most of the, children were leaving the party
The daughters were leaving hastily.,It was evident that most of the,daughters,f,The daughters were leaving hastily. It was evident that most of the, family was leaving. The
The sons were leaving hastily.,It was evident that most of the,sons,m,The sons were leaving hastily. It was evident that most of the, men were in a hurry
The spouses were leaving hastily.,It was evident that most of the,spouses,n,The spouses were leaving hastily. It was evident that most of the, guests were angry at the
The wives were leaving hastily.,It was evident that most of the,wives,f,The wives were leaving hastily. It was evident that most of the, men were not going to
The husbands were leaving hastily.,It was evident that most of the,husbands,m,The husbands were leaving hastily. It was evident that most of the, women were not going to
The grandparents were walking in the village.,"At the end of the day, one of the",grandparents,n,"The grandparents were walking in the village. At the end of the day, one of the"," grandparents said, ""I"
The grandmothers were walking in the village.,"At the end of the day, one of the",grandmothers,f,"The grandmothers were walking in the village. At the end of the day, one of the"," grandmothers said,"
The grandfathers were walking in the village.,"At the end of the day, one of the",grandfathers,m,"The grandfathers were walking in the village. At the end of the day, one of the"," grandfathers said,"
The monarchs were walking in the village.,"At the end of the day, one of the",monarchs,n,"The monarchs were walking in the village. At the end of the day, one of the"," monarchs said, """
The queens were walking in the village.,"At the end of the day, one of the",queens,f,"The queens were walking in the village. At the end of the day, one of the"," queens said, ""I"
The kings were walking in the village.,"At the end of the day, one of the",kings,m,"The kings were walking in the village. At the end of the day, one of the"," kings said, ""I"
The siblings were walking in the village.,"At the end of the day, one of the",siblings,n,"The siblings were walking in the village. At the end of the day, one of the", siblings was tired and said
The sisters were walking in the village.,"At the end of the day, one of the",sisters,f,"The sisters were walking in the village. At the end of the day, one of the"," sisters said, ""I"
The brothers were walking in the village.,"At the end of the day, one of the",brothers,m,"The brothers were walking in the village. At the end of the day, one of the", brothers said to the other
The parents-in-law were walking in the village.,"At the end of the day, one of the",parents-in-law,n,"The parents-in-law were walking in the village. At the end of the day, one of the", parents-in-law said to
The mothers-in-law were walking in the village.,"At the end of the day, one of the",mothers-in-law,f,"The mothers-in-law were walking in the village. At the end of the day, one of the", mothers-in-law said to
The fathers-in-law were walking in the village.,"At the end of the day, one of the",fathers-in-law,m,"The fathers-in-law were walking in the village. At the end of the day, one of the", fathers-in-law said to
The parents were walking in the village.,"At the end of the day, one of the",parents,n,"The parents were walking in the village. At the end of the day, one of the", parents said to the other
The mothers were walking in the village.,"At the end of the day, one of the",mothers,f,"The mothers were walking in the village. At the end of the day, one of the"," mothers said, ""I"
The fathers were walking in the village.,"At the end of the day, one of the",fathers,m,"The fathers were walking in the village. At the end of the day, one of the"," fathers said, ""I"
The children were walking in the village.,"At the end of the day, one of the",children,n,"The children were walking in the village. At the end of the day, one of the"," children said, ""I"
The daughters were walking in the village.,"At the end of the day, one of the",daughters,f,"The daughters were walking in the village. At the end of the day, one of the"," daughters said, ""I"
The sons were walking in the village.,"At the end of the day, one of the",sons,m,"The sons were walking in the village. At the end of the day, one of the"," sons said, ""I"
The spouses were walking in the village.,"At the end of the day, one of the",spouses,n,"The spouses were walking in the village. At the end of the day, one of the"," spouses said, ""I"
The wives were walking in the village.,"At the end of the day, one of the",wives,f,"The wives were walking in the village. At the end of the day, one of the"," wives said, ""I"
The husbands were walking in the village.,"At the end of the day, one of the",husbands,m,"The husbands were walking in the village. At the end of the day, one of the"," husbands said, ""I"
The grandparents were entering the hospital.,"Given the good weather, some of the",grandparents,n,"The grandparents were entering the hospital. Given the good weather, some of the", family members decided to take
The grandmothers were entering the hospital.,"Given the good weather, some of the",grandmothers,f,"The grandmothers were entering the hospital. Given the good weather, some of the", grandmothers were entering
The grandfathers were entering the hospital.,"Given the good weather, some of the",grandfathers,m,"The grandfathers were entering the hospital. Given the good weather, some of the", grandfathers were wearing
The monarchs were entering the hospital.,"Given the good weather, some of the",monarchs,n,"The monarchs were entering the hospital. Given the good weather, some of the", monarchs were flying around
The queens were entering the hospital.,"Given the good weather, some of the",queens,f,"The queens were entering the hospital. Given the good weather, some of the", patients were being wheeled
The kings were entering the hospital.,"Given the good weather, some of the",kings,m,"The kings were entering the hospital. Given the good weather, some of the", kings were wearing hats.
The siblings were entering the hospital.,"Given the good weather, some of the",siblings,n,"The siblings were entering the hospital. Given the good weather, some of the", staff had left the windows
The sisters were entering the hospital.,"Given the good weather, some of the",sisters,f,"The sisters were entering the hospital. Given the good weather, some of the", staff had placed potted
The brothers were entering the hospital.,"Given the good weather, some of the",brothers,m,"The brothers were entering the hospital. Given the good weather, some of the", brothers decided to take a
The parents-in-law were entering the hospital.,"Given the good weather, some of the",parents-in-law,n,"The parents-in-law were entering the hospital. Given the good weather, some of the", patients were sitting on the
The mothers-in-law were entering the hospital.,"Given the good weather, some of the",mothers-in-law,f,"The mothers-in-law were entering the hospital. Given the good weather, some of the", nurses opened the windows to
The fathers-in-law were entering the hospital.,"Given the good weather, some of the",fathers-in-law,m,"The fathers-in-law were entering the hospital. Given the good weather, some of the", fathers-in-law were entering
The parents were entering the hospital.,"Given the good weather, some of the",parents,n,"The parents were entering the hospital. Given the good weather, some of the", parents were sitting on the
The mothers were entering the hospital.,"Given the good weather, some of the",mothers,f,"The mothers were entering the hospital. Given the good weather, some of the", mothers wanted to take a
The fathers were entering the hospital.,"Given the good weather, some of the",fathers,m,"The fathers were entering the hospital. Given the good weather, some of the", fathers were wearing shorts and
The children were entering the hospital.,"Given the good weather, some of the",children,n,"The children were entering the hospital. Given the good weather, some of the", children were playing outside.
The daughters were entering the hospital.,"Given the good weather, some of the",daughters,f,"The daughters were entering the hospital. Given the good weather, some of the", daughters were wearing shorts.
The sons were entering the hospital.,"Given the good weather, some of the",sons,m,"The sons were entering the hospital. Given the good weather, some of the", sons were wearing hats.
The spouses were entering the hospital.,"Given the good weather, some of the",spouses,n,"The spouses were entering the hospital. Given the good weather, some of the", patients were being wheeled
The wives were entering the hospital.,"Given the good weather, some of the",wives,f,"The wives were entering the hospital. Given the good weather, some of the", husbands decided to take a
The husbands were entering the hospital.,"Given the good weather, some of the",husbands,m,"The husbands were entering the hospital. Given the good weather, some of the", husbands were wearing only shorts
The grandparents were walking across the square.,"Because of the heat, several of the",grandparents,n,"The grandparents were walking across the square. Because of the heat, several of the", older people were tired.
The grandmothers were walking across the square.,"Because of the heat, several of the",grandmothers,f,"The grandmothers were walking across the square. Because of the heat, several of the", grandmothers fainted
The grandfathers were walking across the square.,"Because of the heat, several of the",grandfathers,m,"The grandfathers were walking across the square. Because of the heat, several of the", grandfathers had taken
The monarchs were walking across the square.,"Because of the heat, several of the",monarchs,n,"The monarchs were walking across the square. Because of the heat, several of the", monarchs began to wilt
The queens were walking across the square.,"Because of the heat, several of the",queens,f,"The queens were walking across the square. Because of the heat, several of the", queens fainted and had
The kings were walking across the square.,"Because of the heat, several of the",kings,m,"The kings were walking across the square. Because of the heat, several of the", kings had fallen asleep.
The siblings were walking across the square.,"Because of the heat, several of the",siblings,n,"The siblings were walking across the square. Because of the heat, several of the", children did what? Options
The sisters were walking across the square.,"Because of the heat, several of the",sisters,f,"The sisters were walking across the square. Because of the heat, several of the", girls had taken off their
The brothers were walking across the square.,"Because of the heat, several of the",brothers,m,"The brothers were walking across the square. Because of the heat, several of the", men had removed their coats
The parents-in-law were walking across the square.,"Because of the heat, several of the",parents-in-law,n,"The parents-in-law were walking across the square. Because of the heat, several of the", trees had been sprayed with
The mothers-in-law were walking across the square.,"Because of the heat, several of the",mothers-in-law,f,"The mothers-in-law were walking across the square. Because of the heat, several of the", women had tied their head
The fathers-in-law were walking across the square.,"Because of the heat, several of the",fathers-in-law,m,"The fathers-in-law were walking across the square. Because of the heat, several of the", men were barefooted
The parents were walking across the square.,"Because of the heat, several of the",parents,n,"The parents were walking across the square. Because of the heat, several of the", children were carried on their
The mothers were walking across the square.,"Because of the heat, several of the",mothers,f,"The mothers were walking across the square. Because of the heat, several of the", mothers were wearing hats.
The fathers were walking across the square.,"Because of the heat, several of the",fathers,m,"The fathers were walking across the square. Because of the heat, several of the", men had taken off their
The children were walking across the square.,"Because of the heat, several of the",children,n,"The children were walking across the square. Because of the heat, several of the"," children were ________.
"
The daughters were walking across the square.,"Because of the heat, several of the",daughters,f,"The daughters were walking across the square. Because of the heat, several of the", girls took off their shoes
The sons were walking across the square.,"Because of the heat, several of the",sons,m,"The sons were walking across the square. Because of the heat, several of the", boys were carrying watermel
The spouses were walking across the square.,"Because of the heat, several of the",spouses,n,"The spouses were walking across the square. Because of the heat, several of the", men were wearing only shorts
The wives were walking across the square.,"Because of the heat, several of the",wives,f,"The wives were walking across the square. Because of the heat, several of the", women had taken off their
The husbands were walking across the square.,"Because of the heat, several of the",husbands,m,"The husbands were walking across the square. Because of the heat, several of the", men had taken off their
The grandparents were crossing the village.,"After a while, the majority of the",grandparents,n,"The grandparents were crossing the village. After a while, the majority of the", children in the village came
The grandmothers were crossing the village.,"After a while, the majority of the",grandmothers,f,"The grandmothers were crossing the village. After a while, the majority of the", grandmothers were joined
The grandfathers were crossing the village.,"After a while, the majority of the",grandfathers,m,"The grandfathers were crossing the village. After a while, the majority of the", grandfathers were joined
The monarchs were crossing the village.,"After a while, the majority of the",monarchs,n,"The monarchs were crossing the village. After a while, the majority of the", monarchs had crossed the
The queens were crossing the village.,"After a while, the majority of the",queens,f,"The queens were crossing the village. After a while, the majority of the"," queens entered the castle,"
The kings were crossing the village.,"After a while, the majority of the",kings,m,"The kings were crossing the village. After a while, the majority of the", villagers were able to see
The siblings were crossing the village.,"After a while, the majority of the",siblings,n,"The siblings were crossing the village. After a while, the majority of the", children were tired and gr
The sisters were crossing the village.,"After a while, the majority of the",sisters,f,"The sisters were crossing the village. After a while, the majority of the", people who were crossing the
The brothers were crossing the village.,"After a while, the majority of the",brothers,m,"The brothers were crossing the village. After a while, the majority of the", people who were in the
The parents-in-law were crossing the village.,"After a while, the majority of the",parents-in-law,n,"The parents-in-law were crossing the village. After a while, the majority of the", villagers came out to watch
The mothers-in-law were crossing the village.,"After a while, the majority of the",mothers-in-law,f,"The mothers-in-law were crossing the village. After a while, the majority of the", women stopped and sat down
The fathers-in-law were crossing the village.,"After a while, the majority of the",fathers-in-law,m,"The fathers-in-law were crossing the village. After a while, the majority of the", villagers realized that the fathers
The parents were crossing the village.,"After a while, the majority of the",parents,n,"The parents were crossing the village. After a while, the majority of the", villagers had gathered around them
The mothers were crossing the village.,"After a while, the majority of the",mothers,f,"The mothers were crossing the village. After a while, the majority of the", mothers were walking on the
The fathers were crossing the village.,"After a while, the majority of the",fathers,m,"The fathers were crossing the village. After a while, the majority of the", fathers were joined by their
The children were crossing the village.,"After a while, the majority of the",children,n,"The children were crossing the village. After a while, the majority of the", children were tired and sat
The daughters were crossing the village.,"After a while, the majority of the",daughters,f,"The daughters were crossing the village. After a while, the majority of the", daughters were in the village
The sons were crossing the village.,"After a while, the majority of the",sons,m,"The sons were crossing the village. After a while, the majority of the", people in the village were
The spouses were crossing the village.,"After a while, the majority of the",spouses,n,"The spouses were crossing the village. After a while, the majority of the", people in the village were
The wives were crossing the village.,"After a while, the majority of the",wives,f,"The wives were crossing the village. After a while, the majority of the", wives were crossing the village
The husbands were crossing the village.,"After a while, the majority of the",husbands,m,"The husbands were crossing the village. After a while, the majority of the", husbands were tired. The
The grandparents were leaving the hotel.,"With good weather expected, some of the",grandparents,n,"The grandparents were leaving the hotel. With good weather expected, some of the", group were going to the
The grandmothers were leaving the hotel.,"With good weather expected, some of the",grandmothers,f,"The grandmothers were leaving the hotel. With good weather expected, some of the", women decided to go to
The grandfathers were leaving the hotel.,"With good weather expected, some of the",grandfathers,m,"The grandfathers were leaving the hotel. With good weather expected, some of the", men decided to go fishing
The monarchs were leaving the hotel.,"With good weather expected, some of the",monarchs,n,"The monarchs were leaving the hotel. With good weather expected, some of the", monarchs were released.
The queens were leaving the hotel.,"With good weather expected, some of the",queens,f,"The queens were leaving the hotel. With good weather expected, some of the", queens were wearing hats.
The kings were leaving the hotel.,"With good weather expected, some of the",kings,m,"The kings were leaving the hotel. With good weather expected, some of the", players were taking advantage of
The siblings were leaving the hotel.,"With good weather expected, some of the",siblings,n,"The siblings were leaving the hotel. With good weather expected, some of the", group were going to the
The sisters were leaving the hotel.,"With good weather expected, some of the",sisters,f,"The sisters were leaving the hotel. With good weather expected, some of the", sisters decided to go to
The brothers were leaving the hotel.,"With good weather expected, some of the",brothers,m,"The brothers were leaving the hotel. With good weather expected, some of the", brothers were going to the
The parents-in-law were leaving the hotel.,"With good weather expected, some of the",parents-in-law,n,"The parents-in-law were leaving the hotel. With good weather expected, some of the", guests were going to the
The mothers-in-law were leaving the hotel.,"With good weather expected, some of the",mothers-in-law,f,"The mothers-in-law were leaving the hotel. With good weather expected, some of the", mothers-in-law were going
The fathers-in-law were leaving the hotel.,"With good weather expected, some of the",fathers-in-law,m,"The fathers-in-law were leaving the hotel. With good weather expected, some of the", fathers-in-law were going
The parents were leaving the hotel.,"With good weather expected, some of the",parents,n,"The parents were leaving the hotel. With good weather expected, some of the", children were going to the
The mothers were leaving the hotel.,"With good weather expected, some of the",mothers,f,"The mothers were leaving the hotel. With good weather expected, some of the", mothers were going to the
The fathers were leaving the hotel.,"With good weather expected, some of the",fathers,m,"The fathers were leaving the hotel. With good weather expected, some of the", fathers were going to the
The children were leaving the hotel.,"With good weather expected, some of the",children,n,"The children were leaving the hotel. With good weather expected, some of the", children were playing in the
The daughters were leaving the hotel.,"With good weather expected, some of the",daughters,f,"The daughters were leaving the hotel. With good weather expected, some of the", girls were going to the
The sons were leaving the hotel.,"With good weather expected, some of the",sons,m,"The sons were leaving the hotel. With good weather expected, some of the", boys were going to the
The spouses were leaving the hotel.,"With good weather expected, some of the",spouses,n,"The spouses were leaving the hotel. With good weather expected, some of the", other guests were leaving as
The wives were leaving the hotel.,"With good weather expected, some of the",wives,f,"The wives were leaving the hotel. With good weather expected, some of the", women were wearing summer dresses
The husbands were leaving the hotel.,"With good weather expected, some of the",husbands,m,"The husbands were leaving the hotel. With good weather expected, some of the", men were going to play
The grandparents were leaving the castle.,It was noticeable that one of the,grandparents,n,The grandparents were leaving the castle. It was noticeable that one of the, grandfathers was leaving
The grandmothers were leaving the castle.,It was noticeable that one of the,grandmothers,f,The grandmothers were leaving the castle. It was noticeable that one of the, grandmothers was a
The grandfathers were leaving the castle.,It was noticeable that one of the,grandfathers,m,The grandfathers were leaving the castle. It was noticeable that one of the, grandfathers was a
The monarchs were leaving the castle.,It was noticeable that one of the,monarchs,n,The monarchs were leaving the castle. It was noticeable that one of the, monarchs was a bit
The queens were leaving the castle.,It was noticeable that one of the,queens,f,The queens were leaving the castle. It was noticeable that one of the, queens was not happy with
The kings were leaving the castle.,It was noticeable that one of the,kings,m,The kings were leaving the castle. It was noticeable that one of the, kings was not happy about
The siblings were leaving the castle.,It was noticeable that one of the,siblings,n,The siblings were leaving the castle. It was noticeable that one of the," siblings was older, as"
The sisters were leaving the castle.,It was noticeable that one of the,sisters,f,The sisters were leaving the castle. It was noticeable that one of the, sisters was carrying a large
The brothers were leaving the castle.,It was noticeable that one of the,brothers,m,The brothers were leaving the castle. It was noticeable that one of the, brothers was older than the
The parents-in-law were leaving the castle.,It was noticeable that one of the,parents-in-law,n,The parents-in-law were leaving the castle. It was noticeable that one of the, two was not very happy
The mothers-in-law were leaving the castle.,It was noticeable that one of the,mothers-in-law,f,The mothers-in-law were leaving the castle. It was noticeable that one of the, two was a little more
The fathers-in-law were leaving the castle.,It was noticeable that one of the,fathers-in-law,m,The fathers-in-law were leaving the castle. It was noticeable that one of the, two was a little behind
The parents were leaving the castle.,It was noticeable that one of the,parents,n,The parents were leaving the castle. It was noticeable that one of the, parents was a woman.
The mothers were leaving the castle.,It was noticeable that one of the,mothers,f,The mothers were leaving the castle. It was noticeable that one of the, mothers was carrying a baby
The fathers were leaving the castle.,It was noticeable that one of the,fathers,m,The fathers were leaving the castle. It was noticeable that one of the, fathers was a little drunk
The children were leaving the castle.,It was noticeable that one of the,children,n,The children were leaving the castle. It was noticeable that one of the, children was carrying a large
The daughters were leaving the castle.,It was noticeable that one of the,daughters,f,The daughters were leaving the castle. It was noticeable that one of the, daughters was carrying a large
The sons were leaving the castle.,It was noticeable that one of the,sons,m,The sons were leaving the castle. It was noticeable that one of the, sons was carrying a bag
The spouses were leaving the castle.,It was noticeable that one of the,spouses,n,The spouses were leaving the castle. It was noticeable that one of the, spouses was very unhappy.
The wives were leaving the castle.,It was noticeable that one of the,wives,f,The wives were leaving the castle. It was noticeable that one of the, wives was not leaving with
The husbands were leaving the castle.,It was noticeable that one of the,husbands,m,The husbands were leaving the castle. It was noticeable that one of the, husbands was not there.
The grandparents were crossing the park.,"After a while, several of the",grandparents,n,"The grandparents were crossing the park. After a while, several of the", children who were playing in
The grandmothers were crossing the park.,"After a while, several of the",grandmothers,f,"The grandmothers were crossing the park. After a while, several of the", grandmothers had already
The grandfathers were crossing the park.,"After a while, several of the",grandfathers,m,"The grandfathers were crossing the park. After a while, several of the", grandfathers had passed
The monarchs were crossing the park.,"After a while, several of the",monarchs,n,"The monarchs were crossing the park. After a while, several of the", monarchs were seen to
The queens were crossing the park.,"After a while, several of the",queens,f,"The queens were crossing the park. After a while, several of the", queens passed a tree.
The kings were crossing the park.,"After a while, several of the",kings,m,"The kings were crossing the park. After a while, several of the", kings were tired and stopped
The siblings were crossing the park.,"After a while, several of the",siblings,n,"The siblings were crossing the park. After a while, several of the", children ran ahead. Two
The sisters were crossing the park.,"After a while, several of the",sisters,f,"The sisters were crossing the park. After a while, several of the", girls got tired and went
The brothers were crossing the park.,"After a while, several of the",brothers,m,"The brothers were crossing the park. After a while, several of the", brothers were walking. How
The parents-in-law were crossing the park.,"After a while, several of the",parents-in-law,n,"The parents-in-law were crossing the park. After a while, several of the", children who were playing in
The mothers-in-law were crossing the park.,"After a while, several of the",mothers-in-law,f,"The mothers-in-law were crossing the park. After a while, several of the", mothers-in-law were walking
The fathers-in-law were crossing the park.,"After a while, several of the",fathers-in-law,m,"The fathers-in-law were crossing the park. After a while, several of the", fathers-in-law saw each
The parents were crossing the park.,"After a while, several of the",parents,n,"The parents were crossing the park. After a while, several of the", children began to complain about
The mothers were crossing the park.,"After a while, several of the",mothers,f,"The mothers were crossing the park. After a while, several of the", mothers were talking to each
The fathers were crossing the park.,"After a while, several of the",fathers,m,"The fathers were crossing the park. After a while, several of the", fathers were seen _______
The children were crossing the park.,"After a while, several of the",children,n,"The children were crossing the park. After a while, several of the", children were missing. The
The daughters were crossing the park.,"After a while, several of the",daughters,f,"The daughters were crossing the park. After a while, several of the", daughters got tired and stopped
The sons were crossing the park.,"After a while, several of the",sons,m,"The sons were crossing the park. After a while, several of the", boys were seen to be
The spouses were crossing the park.,"After a while, several of the",spouses,n,"The spouses were crossing the park. After a while, several of the", spouses were crossing the park
The wives were crossing the park.,"After a while, several of the",wives,f,"The wives were crossing the park. After a while, several of the", wives were seen to be
The husbands were crossing the park.,"After a while, several of the",husbands,m,"The husbands were crossing the park. After a while, several of the", husbands were crossing the park
The grandparents were going to the hospital.,It was evident that a few of the,grandparents,n,The grandparents were going to the hospital. It was evident that a few of the, family members were going to
The grandmothers were going to the hospital.,It was evident that a few of the,grandmothers,f,The grandmothers were going to the hospital. It was evident that a few of the, grandmothers were going
The grandfathers were going to the hospital.,It was evident that a few of the,grandfathers,m,The grandfathers were going to the hospital. It was evident that a few of the, grandfathers were going
The monarchs were going to the hospital.,It was evident that a few of the,monarchs,n,The monarchs were going to the hospital. It was evident that a few of the, monarchs were in pain
The queens were going to the hospital.,It was evident that a few of the,queens,f,The queens were going to the hospital. It was evident that a few of the, queens were going to the
The kings were going to the hospital.,It was evident that a few of the,kings,m,The kings were going to the hospital. It was evident that a few of the, kings were going to the
The siblings were going to the hospital.,It was evident that a few of the,siblings,n,The siblings were going to the hospital. It was evident that a few of the, siblings were there for the
The sisters were going to the hospital.,It was evident that a few of the,sisters,f,The sisters were going to the hospital. It was evident that a few of the, sisters were there to visit
The brothers were going to the hospital.,It was evident that a few of the,brothers,m,The brothers were going to the hospital. It was evident that a few of the, brothers needed to lose weight
The parents-in-law were going to the hospital.,It was evident that a few of the,parents-in-law,n,The parents-in-law were going to the hospital. It was evident that a few of the, children were going to be
The mothers-in-law were going to the hospital.,It was evident that a few of the,mothers-in-law,f,The mothers-in-law were going to the hospital. It was evident that a few of the, mothers-in-law were going
The fathers-in-law were going to the hospital.,It was evident that a few of the,fathers-in-law,m,The fathers-in-law were going to the hospital. It was evident that a few of the, fathers-in-law were going
The parents were going to the hospital.,It was evident that a few of the,parents,n,The parents were going to the hospital. It was evident that a few of the, children had been crying.
The mothers were going to the hospital.,It was evident that a few of the,mothers,f,The mothers were going to the hospital. It was evident that a few of the, mothers were not going to
The fathers were going to the hospital.,It was evident that a few of the,fathers,m,The fathers were going to the hospital. It was evident that a few of the, fathers were not going to
The children were going to the hospital.,It was evident that a few of the,children,n,The children were going to the hospital. It was evident that a few of the, children were what? Options
The daughters were going to the hospital.,It was evident that a few of the,daughters,f,The daughters were going to the hospital. It was evident that a few of the, daughters were visiting their mother
The sons were going to the hospital.,It was evident that a few of the,sons,m,The sons were going to the hospital. It was evident that a few of the, sons were visiting their mothers
The spouses were going to the hospital.,It was evident that a few of the,spouses,n,The spouses were going to the hospital. It was evident that a few of the, patients were going to die
The wives were going to the hospital.,It was evident that a few of the,wives,f,The wives were going to the hospital. It was evident that a few of the, husbands were going to be
The husbands were going to the hospital.,It was evident that a few of the,husbands,m,The husbands were going to the hospital. It was evident that a few of the, wives were pregnant. 
